index,url,category,context,dataset_type,dataset_category
1,https://maps.austintexas.gov/arcgis/rest/services/Shared/Zoning_2/MapServer/17,Sewer Utilities,"Hill Country Roadways Overlay
maps.austintexas.gov
A hill country roadway corridor is the land within the City’s zoning jurisdiction located 1,000 feet or less from each side of the right-of-way of th",,
2,https://maps.austintexas.gov/arcgis/rest/services/LongRangeCIP/RNAProjects/MapServer/5,Sewer Utilities,"Hill Country Roadways Overlay
maps.austintexas.gov
A hill country roadway corridor is the land within the City’s zoning jurisdiction located 1,000 feet or less from each side of the right-of-way of th",,
3,https://coagiswebadaptor.austintexas.gov/awgisago/rest/services/SER/LRP_Reclaimed/MapServer/3,Sewer Utilities,"Hill Country Roadways Overlay
maps.austintexas.gov
A hill country roadway corridor is the land within the City’s zoning jurisdiction located 1,000 feet or less from each side of the right-of-way of th",,
4,https://gis.traviscountytx.gov/server1/rest/services/MS4/MS4_Map_Supporting_Layers/MapServer/15,Sewer Utilities,"Hill Country Roadways Overlay
maps.austintexas.gov
A hill country roadway corridor is the land within the City’s zoning jurisdiction located 1,000 feet or less from each side of the right-of-way of th",,
5,https://gis.horrocks.com/arcgis/rest/services/TX_9706_24_General/MapServer/12,Sewer Utilities,"Hill Country Roadways Overlay
maps.austintexas.gov
A hill country roadway corridor is the land within the City’s zoning jurisdiction located 1,000 feet or less from each side of the right-of-way of th",,
6,https://gis.horrocks.com/arcgis/rest/services/TX_9706_24_General/MapServer/24,Sewer Utilities,"Hill Country Roadways Overlay
maps.austintexas.gov
A hill country roadway corridor is the land within the City’s zoning jurisdiction located 1,000 feet or less from each side of the right-of-way of th",,
7,https://maps.pape-dawson.com/server2/rest/services/PD_GIS_Webmap/PD_GIS_Webmap__Austin_External/MapServer/188,Sewer Utilities,"Hill Country Roadways Overlay
maps.austintexas.gov
A hill country roadway corridor is the land within the City’s zoning jurisdiction located 1,000 feet or less from each side of the right-of-way of th",,
8,https://maps.austintexas.gov/arcgis/rest/services/Shared/ImmpactActivities/MapServer/6,Sewer Utilities,"Hill Country Roadways Overlay
maps.austintexas.gov
A hill country roadway corridor is the land within the City’s zoning jurisdiction located 1,000 feet or less from each side of the right-of-way of th",,
9,https://gis.traviscountytx.gov/server1/rest/services/MS4/MS4_Map_Supporting_Layers/MapServer/12,Sewer Utilities,"Hill Country Roadways Overlay
maps.austintexas.gov
A hill country roadway corridor is the land within the City’s zoning jurisdiction located 1,000 feet or less from each side of the right-of-way of th",,
10,https://gis.horrocks.com/arcgis/rest/services/TX_9706_24_General/MapServer/22,Sewer Utilities,"Hill Country Roadways Overlay
maps.austintexas.gov
A hill country roadway corridor is the land within the City’s zoning jurisdiction located 1,000 feet or less from each side of the right-of-way of th",,
