serviceUrl,layerId,layerName,geometryType,score,tags,status,httpStatus
http://minemaps.pasda.psu.edu/server/rest/services/pasda/FEMA_NationalRiskIndex/MapServer,0,NRI_CensusTracts,esriGeometryPolygon,0,,ok,cached
https://apps.fs.usda.gov/arcx/rest/services/RDW_LandscapeAndWildlife/2010_Land_Cover_Of_North_America_CEC_250m/MapServer,0,NA Land Cover 2010,,10,situs,ok,cached
https://apps.fs.usda.gov/arcx/rest/services/RDW_LandscapeAndWildlife/2010_Land_Cover_Of_North_America_CEC_250m/MapServer,1,Hawaii Land Cover 2005,,10,situs,ok,cached
https://apps.fs.usda.gov/fsgisx02/rest/services/foresthealth/DominantForestHost/MapServer,0,Dominant Forest Hosts,,10,permits,ok,cached
https://apps.fs.usda.gov/fsgisx05/rest/services/wo_nfs_gtac/Conus_BuildingExposure_by_90mPixel/MapServer,0,Conus_BuildingExposure_by_90mPixel,,10,permits,ok,cached
https://arcgis.netl.doe.gov/server/rest/services/CO2Locate_Total_Well_Count/MapServer,0,Well Count,esriGeometryPolygon,10,permits,ok,200
https://arcgis.netl.doe.gov/server/rest/services/EDXSpatialCaches/Active_Wells_223_2025/MapServer,10,Active_Wells_223,esriGeometryPolygon,0,,ok,200
https://arcgis.netl.doe.gov/server/rest/services/EDXSpatialCaches/Active_Wells_25_2025/MapServer,10,Active_Wells_25,esriGeometryPolygon,0,,ok,200
https://arcgis.netl.doe.gov/server/rest/services/EDXSpatialCaches/Oil_Gas_Atlas5_v3_final_25_2025/MapServer,2,Oil_Gas_Atlas5_v3_final_25,esriGeometryPolygon,10,utilities,ok,200
https://arcgis.netl.doe.gov/server/rest/services/EDXSpatialCaches/Pipelines_223_2025/MapServer,6,Pipelines_223,esriGeometryPolyline,10,situs,ok,200
https://arcgis.netl.doe.gov/server/rest/services/EDXSpatialCaches/Wells_Vector_Grid_223_2025/MapServer,12,Wells_Vector_Grid_223,esriGeometryPolygon,0,,ok,200
https://arcgis.netl.doe.gov/server/rest/services/Gulf_of_Mexico_Basin_MIL1/MapServer,0,Gulf_Coast_Basin_extent,esriGeometryPolygon,10,land_use,ok,200
https://arcgis.netl.doe.gov/server/rest/services/Gulf_of_Mexico_Basin_MIL1/MapServer,1,Earthquake,,0,,ok,200
https://arcgis.netl.doe.gov/server/rest/services/Gulf_of_Mexico_Basin_MIL1/MapServer,2,Earthquake_locations_integrated_GC_Basin,esriGeometryPoint,10,situs,ok,200
https://arcgis.netl.doe.gov/server/rest/services/Gulf_of_Mexico_Basin_MIL1/MapServer,3,Faults Fractures and Folds,,0,,ok,200
https://arcgis.netl.doe.gov/server/rest/services/Gulf_of_Mexico_Basin_MIL1/MapServer,4,Gulf_coast_faults_GC_Basin_USGS,esriGeometryPolyline,0,,ok,200
https://arcgis.netl.doe.gov/server/rest/services/Gulf_of_Mexico_Basin_MIL1/MapServer,5,Faults_GC_Basin_TX_USGS,esriGeometryPolyline,10,permits,ok,200
https://arcgis.netl.doe.gov/server/rest/services/Gulf_of_Mexico_Basin_MIL1/MapServer,6,Faults_GC_Basin_SGMC_USGS,esriGeometryPolyline,0,,ok,200
https://arcgis.netl.doe.gov/server/rest/services/Gulf_of_Mexico_Basin_MIL1/MapServer,7,Faults_GC_Basin_Diegel_et_al,esriGeometryPolyline,0,,ok,200
https://arcgis.netl.doe.gov/server/rest/services/Gulf_of_Mexico_Basin_MIL1/MapServer,8,Faults_GC_Basin_BEG,esriGeometryPolyline,10,permits,ok,200
https://arcgis.netl.doe.gov/server/rest/services/Gulf_of_Mexico_Basin_MIL1/MapServer,9,Faults_at_the_top_of_the_basement_GC_Basin_Bouroullec2016,esriGeometryPolyline,0,,ok,200
https://arcgis.netl.doe.gov/server/rest/services/Gulf_of_Mexico_Basin_MIL1/MapServer,10,Eagle_Ford_Formation_faults_GC_Basin_McKeighan_et_al,esriGeometryPolyline,0,,ok,200
https://arcgis.netl.doe.gov/server/rest/services/Gulf_of_Mexico_Basin_MIL1/MapServer,11,Counter_Regional_faults_and_Neogene_extensional_faults_GC_Basin_Stephens2009_Bouroullec2017,esriGeometryPolyline,0,,ok,200
https://arcgis.netl.doe.gov/server/rest/services/Gulf_of_Mexico_Basin_MIL1/MapServer,12,Basement_lineaments_integrated_GC_Basin,esriGeometryPolyline,10,permits,ok,200
https://arcgis.netl.doe.gov/server/rest/services/Gulf_of_Mexico_Basin_MIL1/MapServer,13,All_lineaments_integrated_GC_Basin,esriGeometryPolyline,0,,ok,200
https://arcgis.netl.doe.gov/server/rest/services/Gulf_of_Mexico_Basin_MIL1/MapServer,14,Structural Contours and Isopachs,,0,,ok,200
https://arcgis.netl.doe.gov/server/rest/services/Gulf_of_Mexico_Basin_MIL1/MapServer,15,Eagle_Ford_Formation_thickness_GC_Basin_EIA,esriGeometryPolyline,0,,ok,200
https://arcgis.netl.doe.gov/server/rest/services/Gulf_of_Mexico_Basin_MIL1/MapServer,16,Depth_to_top_of_the_Upper_Pliocene_GC_Basin_BEG,esriGeometryPolyline,0,,ok,200
https://arcgis.netl.doe.gov/server/rest/services/Gulf_of_Mexico_Basin_MIL1/MapServer,17,Depth_to_top_of_the_Upper_Miocene_GC_Basin_BEG,esriGeometryPolyline,0,,ok,200
